project_id,mode,route_id,direction_id,stop_id,stop_name_from,stop_sequence
1,trenes,5,0,332,Retiro,1
1,trenes,5,0,229,L. De La Torre,2
1,trenes,5,0,34,Belgrano C.,3
1,trenes,5,0,287,Nuñez,4
1,trenes,5,0,337,Rivadavia,5
1,trenes,5,0,408,V. Lopez,6
1,trenes,5,0,291,Olivos,7
1,trenes,5,0,212,La Lucila,8
1,trenes,5,0,262,Martinez,9
1,trenes,5,0,5,Acassuso,10
1,trenes,5,0,357,San Isidro,11
1,trenes,5,0,32,Beccar,12
1,trenes,5,0,409,Victoria,13
1,trenes,5,0,428,Virreyes,14
1,trenes,5,0,355,San Fernando,15
1,trenes,5,0,65,Carupá,16
1,trenes,5,0,389,Tigre,17
1,trenes,5,1,389,Tigre,1
1,trenes,5,1,65,Carupá,2
1,trenes,5,1,355,San Fernando,3
1,trenes,5,1,428,Virreyes,4
1,trenes,5,1,409,Victoria,5
1,trenes,5,1,32,Beccar,6
1,trenes,5,1,357,San Isidro,7
1,trenes,5,1,5,Acassuso,8
1,trenes,5,1,262,Martinez,9
1,trenes,5,1,212,La Lucila,10
1,trenes,5,1,291,Olivos,11
1,trenes,5,1,408,V. Lopez,12
1,trenes,5,1,337,Rivadavia,13
1,trenes,5,1,287,Nuñez,14
1,trenes,5,1,34,Belgrano C.,15
1,trenes,5,1,229,L. De La Torre,16
1,trenes,5,1,332,Retiro,17
1,trenes,33,0,332,Retiro,1
1,trenes,33,0,229,L. De La Torre,2
1,trenes,33,0,34,Belgrano C.,3
1,trenes,33,0,287,Nuñez,4
1,trenes,33,0,337,Rivadavia,5
1,trenes,33,0,408,V. Lopez,6
1,trenes,33,0,291,Olivos,7
1,trenes,33,0,212,La Lucila,8
1,trenes,33,0,262,Martinez,9
1,trenes,33,0,5,Acassuso,10
1,trenes,33,0,357,San Isidro,11
1,trenes,33,0,32,Beccar,12
1,trenes,33,0,409,Victoria,12
1,trenes,33,0,118,Dr. A. Schweitzer,12
1,trenes,33,0,29,Emp. Bancalari,12
1,trenes,33,0,128,El Talar,12
1,trenes,33,0,240,Lopez Camelo,12
1,trenes,33,0,147,Garín,12
1,trenes,33,0,253,Maq. Savio,12
1,trenes,33,0,264,Matheu,12
1,trenes,33,0,436,Zelaya,12
1,trenes,33,0,243,Los Cardales,12
1,trenes,33,0,61,Cap. Del Señor,12
1,trenes,33,1,61,Cap. Del Señor,1
1,trenes,33,1,243,Los Cardales,2
1,trenes,33,1,436,Zelaya,3
1,trenes,33,1,264,Matheu,4
1,trenes,33,1,253,Maq. Savio,5
1,trenes,33,1,147,Garín,6
1,trenes,33,1,240,Lopez Camelo,7
1,trenes,33,1,128,El Talar,8
1,trenes,33,1,29,Emp. Bancalari,9
1,trenes,33,1,118,Dr. A. Schweitzer,10
1,trenes,33,1,409,Victoria,11
1,trenes,33,1,32,Beccar,12
1,trenes,33,1,357,San Isidro,13
1,trenes,33,1,5,Acassuso,14
1,trenes,33,1,262,Martinez,15
1,trenes,33,1,212,La Lucila,16
1,trenes,33,1,291,Olivos,17
1,trenes,33,1,408,V. Lopez,18
1,trenes,33,1,337,Rivadavia,19
1,trenes,33,1,287,Nuñez,20
1,trenes,33,1,34,Belgrano C.,21
1,trenes,33,1,229,L. De La Torre,22
1,trenes,33,1,332,Retiro,23
1,trenes,9,0,332,Retiro,1
1,trenes,9,0,1,3 de Febrero,2
1,trenes,9,0,272,Mtro. Carranza,3
1,trenes,9,0,91,Colegiales,4
1,trenes,9,0,35,Belgrano R,5
1,trenes,9,0,236,L. M. Drago,6
1,trenes,9,0,150,Gral. Urquiza,7
1,trenes,9,0,318,Pueyrredon,8
1,trenes,9,0,271,Miguelete,9
1,trenes,9,0,360,San Martín,10
1,trenes,9,0,353,San Andrés,11
1,trenes,9,0,249,Malaver,12
1,trenes,9,0,412,V. Ballester,13
1,trenes,9,0,79,Chilavert,14
1,trenes,9,0,190,J L Suárez,15
1,trenes,9,1,190,J L Suárez,1
1,trenes,9,1,79,Chilavert,2
1,trenes,9,1,412,V. Ballester,3
1,trenes,9,1,249,Malaver,4
1,trenes,9,1,353,San Andrés,5
1,trenes,9,1,360,San Martín,6
1,trenes,9,1,271,Miguelete,7
1,trenes,9,1,318,Pueyrredon,8
1,trenes,9,1,150,Gral. Urquiza,9
1,trenes,9,1,236,L. M. Drago,10
1,trenes,9,1,35,Belgrano R,11
1,trenes,9,1,91,Colegiales,12
1,trenes,9,1,272,Mtro. Carranza,13
1,trenes,9,1,1,3 de Febrero,14
1,trenes,9,1,332,Retiro,15
1,trenes,7,0,332,Retiro,1
1,trenes,7,0,1,3 de Febrero,2
1,trenes,7,0,272,Mtro. Carranza,3
1,trenes,7,0,91,Colegiales,4
1,trenes,7,0,35,Belgrano R,5
1,trenes,7,0,90,Coghlan,6
1,trenes,7,0,346,L. M. Saavedra,7
1,trenes,7,0,200,J. B. Justo,8
1,trenes,7,0,141,Florida,9
1,trenes,7,0,119,Dr. Cetrángolo,10
1,trenes,7,0,273,B. Mitre,11
1,trenes,7,1,273,B. Mitre,1
1,trenes,7,1,119,Dr. Cetrángolo,2
1,trenes,7,1,141,Florida,3
1,trenes,7,1,200,J. B. Justo,4
1,trenes,7,1,346,L. M. Saavedra,5
1,trenes,7,1,90,Coghlan,6
1,trenes,7,1,35,Belgrano R,7
1,trenes,7,1,91,Colegiales,8
1,trenes,7,1,272,Mtro. Carranza,9
1,trenes,7,1,1,3 de Febrero,10
1,trenes,7,1,332,Retiro,11
1,trenes,35,0,190,J. L. SUAREZ,1
1,trenes,35,0,29,BANCALARI,2
1,trenes,35,0,296,GRAL. PACHECO,3
1,trenes,35,0,37,BENAVIDEZ,4
1,trenes,35,0,263,ING. MASCHWITZ,5
1,trenes,35,0,130,ESCOBAR,6
1,trenes,35,0,335,RIO LUJAN,7
1,trenes,35,0,294,ING. OTAMENDI,8
1,trenes,35,0,55,CAMPANA,9
1,trenes,35,0,204,Kilometro 83,10
1,trenes,35,1,434,ZARATE,11
1,trenes,35,1,434,ZARATE,1
1,trenes,35,1,204,Kilometro 83,2
1,trenes,35,1,55,CAMPANA,3
1,trenes,35,1,294,ING. OTAMENDI,4
1,trenes,35,1,335,RIO LUJAN,5
1,trenes,35,1,130,ESCOBAR,6
1,trenes,35,1,263,ING. MASCHWITZ,7
1,trenes,35,1,37,BENAVIDEZ,8
1,trenes,35,1,296,GRAL. PACHECO,9
1,trenes,35,1,29,BANCALARI,10
1,trenes,35,1,190,J. L. SUAREZ,11
2,trenes,25,0,93,PLAZA CONSTITUCION,1
2,trenes,25,0,48,BUENOS AIRES,2
2,trenes,25,0,525,DR. A. SÁENZ,3
2,trenes,25,0,427,VILLA SOLDATI,4
2,trenes,25,0,313,PTE. ILLIA,5
2,trenes,25,0,422,LUGANO,6
2,trenes,25,0,424,VILLA MADERO,7
2,trenes,25,0,260,MNOS. DEL FOURNIER,8
2,trenes,25,0,385,TAPIALES,9
2,trenes,25,0,181,ING. CASTELLO,10
2,trenes,25,0,321,QUERANDÍ,11
2,trenes,25,0,209,LAFERRERE,12
2,trenes,25,0,256,MARÍA E. DUARTE,13
2,trenes,25,0,178,PDA. INDEPENDENCIA,14
2,trenes,25,0,154,GONZALEZ CATAN,15
2,trenes,25,1,154,GONZALEZ CATAN,1
2,trenes,25,1,178,PDA. INDEPENDENCIA,2
2,trenes,25,1,256,MARÍA E. DUARTE,3
2,trenes,25,1,209,LAFERRERE,4
2,trenes,25,1,321,QUERANDÍ,5
2,trenes,25,1,181,ING. CASTELLO,6
2,trenes,25,1,385,TAPIALES,7
2,trenes,25,1,260,MNOS. DEL FOURNIER,8
2,trenes,25,1,424,VILLA MADERO,9
2,trenes,25,1,422,LUGANO,10
2,trenes,25,1,313,PTE. ILLIA,11
2,trenes,25,1,427,VILLA SOLDATI,12
2,trenes,25,1,525,DR. A. SÁENZ,13
2,trenes,25,1,48,BUENOS AIRES,14
2,trenes,25,1,93,PLAZA CONSTITUCION,15
2,trenes,21,0,93,PLAZA CONSTITUCION,1
2,trenes,21,0,48,BUENOS AIRES,2
2,trenes,21,0,121,DR. A. SÁENZ,3
2,trenes,21,0,427,VILLA SOLDATI,4
2,trenes,21,0,313,PTE. ILLIA,5
2,trenes,21,0,422,LUGANO,6
2,trenes,21,0,424,VILLA MADERO,7
2,trenes,21,0,260,MNOS. DEL FOURNIER,8
2,trenes,21,0,385,TAPIALES,9
2,trenes,21,0,12,ALDO BONZI,10
2,trenes,21,0,354,M. S. MENDEVILLE,11
2,trenes,21,0,195,JOSÉ INGENIEROS,12
2,trenes,21,0,203,JUSTO VILLEGAS,13
2,trenes,21,0,184,ISIDRO CASANOVA,14
2,trenes,21,0,325,RAFAEL CASTILLO,15
2,trenes,21,0,270,MERLO GÓMEZ,16
2,trenes,21,0,232,LIBERTAD,17
2,trenes,21,0,259,M. C. G. BELGRANO,18
2,trenes,21,1,259,M. C. G. BELGRANO,1
2,trenes,21,1,232,LIBERTAD,2
2,trenes,21,1,270,MERLO GÓMEZ,3
2,trenes,21,1,325,RAFAEL CASTILLO,4
2,trenes,21,1,184,ISIDRO CASANOVA,5
2,trenes,21,1,203,JUSTO VILLEGAS,6
2,trenes,21,1,195,JOSÉ INGENIEROS,7
2,trenes,21,1,354,M. S. MENDEVILLE,8
2,trenes,21,1,12,ALDO BONZI,9
2,trenes,21,1,385,TAPIALES,10
2,trenes,21,1,260,MNOS. DEL FOURNIER,11
2,trenes,21,1,424,VILLA MADERO,12
2,trenes,21,1,422,LUGANO,13
2,trenes,21,1,313,PTE. ILLIA,14
2,trenes,21,1,427,VILLA SOLDATI,15
2,trenes,21,1,121,DR. A. SÁENZ,16
2,trenes,21,1,48,BUENOS AIRES,17
2,trenes,21,1,93,PLAZA CONSTITUCION,18